Healthy	Unhealthy	Background
82,146,49	184,160,126	7,8,12
77,141,44	183,159,125	8,9,13
74,143,36	206,183,151	51,109,159
73,141,32	195,170,139	53,109,160
75,141,31	186,162,128	50,108,158
101,138,104	179,192,112	43,130,197
103,140,106	184,193,112	33,125,192
103,140,106	184,194,108	29,120,190
94,119,98	198,183,88	64,149,214
90,115,94	198,183,88	55,144,210
86,111,89	200,185,90	50,144,208
86,123,92	103,92,72	45,111,172
83,123,89	108,97,77	45,110,176
78,118,83	112,100,78	43,108,174
74,116,80	211,197,162	34,97,150
73,115,77	215,201,166	33,94,148
75,115,78	218,204,169	33,93,147
66,104,57	166,140,79	34,97,150
66,104,57	167,142,76	33,94,148
76,113,69	167,142,75	33,93,147
102,143,99	175,176,49	34,97,150
103,144,102	172,171,45	33,94,148
112,153,111	168,167,41	33,93,147
98,144,95	182,158,124	8,9,11
107,154,102	180,156,122	9,11,10
111,158,106	179,155,121	11,12,14
56,102,53	209,186,154	9,9,11
55,102,50	200,175,144	8,8,8
55,104,49	194,170,136	8,8,8
79,143,46	178,191,112	13,17,16
83,144,49	183,192,111	14,18,17
81,142,47	182,192,106	14,18,17
74,143,36	200,185,90	5,7,6
72,140,31	199,184,89	5,5,5
72,138,28	202,187,92	7,7,7
107,144,110	112,99,80	70,140,192
103,140,106	112,99,80	81,149,198
101,138,104	116,104,82	79,147,196
99,124,103	216,202,167	5,8,13
90,115,94	220,206,171	5,9,12
80,105,83	220,206,171	6,10,13
82,119,88	166,140,79	45,103,153
81,121,87	167,142,76	48,104,155
80,120,85	165,140,73	47,105,155
73,115,79	178,178,56	45,130,195
71,113,75	175,174,48	35,124,192
67,107,70	170,169,43	29,117,188
64,102,55	202,188,79	65,150,215
63,101,54	200,187,85	56,145,211
68,105,61	202,188,89	47,140,207
103,146,101	205,191,84	37,103,164
110,151,109	208,196,96	40,105,171
119,157,118	212,200,102	40,105,173
95,141,92	204,190,83	33,94,148
100,146,97	209,197,97	33,93,147
102,148,99	215,202,106	35,92,147
